id,item_num,key_field,qty,name,category,serial_no,turnover_ytd,turnover_ltd,repair_cost_ytd,sell_price,current_store,inactive,pos_store_code,rfid_rental_class_num
66229,64724.0,,0,"4-PK RATCHET STRAPS,1000LBS, ORAN","Sales, Merchandise Equip.",,0.0,1.0,0.0,21.95,2.0,0,,
66230,64726.0,,0,"2-PK RATCHET STRAPS,1667LBS, YELL","Sales, Merchandise Equip.",,0.0,0.0,0.0,16.95,0.0,0,,
66231,64727.0,,0,"2-PK RATCHET STRAPS,1667LBS, YELL","Sales, Merchandise Equip.",,0.0,2.0,0.0,16.95,2.0,0,,
66232,64729.0,,0,NEMESIS WHEEL CLAMP,"Sales, Merchandise Equip.",,0.0,0.0,0.0,249.95,0.0,0,,
66233,64730.0,,0,NEMESIS WHEEL CLAMP,"Sales, Merchandise Equip.",,0.0,0.0,0.0,249.95,2.0,0,,
66234,64732.0,,0,"FUEL STABILIZER,1 OZ/2.5 GAL","Sales, Merchandise Equip.",,0.0,0.0,0.0,1.95,0.0,0,,
66235,64733.0,,0,"FUEL STABILIZER,1 OZ/2.5 GAL","Sales, Merchandise Equip.",,0.0,0.0,0.0,1.95,2.0,0,,
66236,64735.0,,0,"TARP, ALL-PURPOSE, 6'X 8'","Sales, Merchandise Equip.",,0.0,0.0,0.0,4.95,0.0,0,,
66237,64736.0,,0,"TARP, ALL-PURPOSE, 6'X 8'","Sales, Merchandise Equip.",,0.0,0.0,0.0,4.95,2.0,0,,
66238,64738.0,,0,"TARP, ALL-PURPOSE, 10'X 12'","Sales, Merchandise Equip.",,0.0,0.0,0.0,9.95,0.0,0,,
66239,64739.0,,0,"TARP, ALL-PURPOSE, 10'X 12'","Sales, Merchandise Equip.",,0.0,0.0,0.0,9.95,2.0,0,,
66240,64741.0,,0,"TARP, ALL-PURPOSE, 12'X 16'","Sales, Merchandise Equip.",,0.0,0.0,0.0,19.95,0.0,0,,
66241,64742.0,,0,"TARP, ALL-PURPOSE, 12'X 16'","Sales, Merchandise Equip.",,0.0,0.0,0.0,19.95,2.0,0,,
66242,64744.0,,0,"20# LP TANK, FULL, RECONDITIONED","Sales, Merchandise Equip.",,0.0,0.0,0.0,35.0,0.0,0,,
66243,64745.0,,0,"20# LP TANK, FULL, RECONDITIONED","Sales, Merchandise Equip.",,0.0,0.0,0.0,35.0,2.0,0,,
66245,64748.0,,0,WELDING GOGGLES (IF NOT RETURNED),"Generators, Welders & Lights",,0.0,0.0,0.0,11.95,2.0,0,,
66247,64751.0,,0,SAFETY GLASSES,"Sales, Equip. Related",,0.0,1.0,0.0,8.95,2.0,0,,
